datum,fullDepo,balance,equity,hozamManual,hozamRobot
2018.12.07 19:03,1743.10,1725.90,1725.90,-55.49,38.29
2018.12.07 19:03,1743.10,1721.99,1721.99,-55.49,34.38
2018.12.07 20:04,1743.10,1718.28,1718.28,-59.20,34.38
2018.12.07 20:04,1743.10,1716.84,1716.84,-60.64,34.38
2018.12.07 20:04,1743.10,1715.06,1715.06,-60.64,32.60
2018.12.07 20:04,1743.10,1713.20,1713.20,-60.64,30.74
2018.12.07 20:39,1743.10,1705.50,1705.50,-68.34,30.74
2018.12.07 21:20,1743.10,1703.67,1703.67,-68.34,28.91
2018.12.07 21:20,1743.10,1701.87,1701.87,-68.34,27.11
2018.12.07 22:13,1743.10,1699.85,1699.85,-68.34,25.09
2018.12.07 22:13,1743.10,1697.91,1697.91,-68.34,23.15
2018.12.07 22:32,1743.10,1704.07,1704.07,-62.18,23.15
2018.12.07 22:32,1743.10,1704.59,1704.59,-61.66,23.15
2018.12.07 22:32,1743.10,1707.00,1707.00,-59.25,23.15
2018.12.07 22:32,1743.10,1711.56,1711.56,-54.69,23.15
2018.12.07 22:32,1743.10,1719.75,1719.75,-46.50,23.15
2018.12.07 22:34,1743.10,1716.93,1716.93,-49.32,23.15
2018.12.07 22:34,1743.10,1725.70,1725.70,-40.55,23.15
2018.12.07 22:34,1743.10,1725.85,1725.85,-40.40,23.15
2018.12.07 22:34,1743.10,1727.74,1727.74,-38.51,23.15
2018.12.07 22:34,1743.10,1730.28,1730.28,-35.97,23.15
2018.12.07 22:34,1743.10,1731.64,1731.64,-34.61,23.15
2018.12.07 22:34,1743.10,1733.38,1733.38,-32.87,23.15
2018.12.07 23:29,1743.10,1730.28,1730.28,-35.97,23.15
2018.12.10 16:11,1743.10,1719.48,1719.48,-46.77,23.15
2018.12.10 16:15,1743.10,1719.81,1719.81,-46.44,23.15
2018.12.10 16:16,1743.10,1721.03,1721.03,-45.22,23.15
2018.12.10 16:24,1743.10,1720.11,1720.11,-46.14,23.15
2018.12.10 16:24,1743.10,1721.62,1721.62,-44.63,23.15
2018.12.10 18:01,1743.10,1733.67,1733.67,-32.58,23.15
2018.12.10 18:24,1743.10,1729.07,1729.07,-37.18,23.15
2018.12.10 18:26,1743.10,1738.99,1738.99,-27.26,23.15
2018.12.10 19:08,1743.10,1740.21,1740.21,-27.26,24.37
2018.12.10 19:40,1743.10,1743.96,1743.96,-23.51,24.37
2018.12.10 19:40,1743.10,1747.48,1747.48,-19.99,24.37
2018.12.10 21:09,1743.10,1748.74,1748.74,-18.73,24.37
2018.12.11 02:07,1743.11,1748.75,1748.75,-18.73,24.37
2018.12.11 02:40,1743.12,1748.76,1748.76,-18.73,24.37
2018.12.11 02:52,1743.13,1748.77,1748.77,-18.73,24.37
2018.12.11 02:58,1743.14,1748.78,1748.78,-18.73,24.37
2018.12.11 14:33,1743.14,1748.88,1748.88,-18.63,24.37
2018.12.11 15:35,1743.14,1750.68,1750.68,-16.83,24.37
2018.12.11 18:43,1743.14,1750.72,1750.72,-16.79,24.37
2018.12.11 19:04,1743.14,1750.02,1750.02,-17.49,24.37
2018.12.11 19:04,1743.14,1750.73,1750.73,-16.78,24.37
2018.12.11 19:04,1743.14,1751.91,1751.91,-15.60,24.37
2018.12.11 19:04,1743.14,1753.09,1753.09,-14.42,24.37
2018.12.11 20:05,1743.14,1752.49,1752.49,-15.02,24.37
2018.12.11 20:05,1743.14,1753.29,1753.29,-14.22,24.37
2018.12.11 20:19,1743.14,1751.39,1751.39,-16.12,24.37
2018.12.11 20:26,1743.14,1749.99,1749.99,-17.52,24.37
2018.12.11 20:26,1743.14,1749.01,1749.01,-18.50,24.37
2018.12.11 21:03,1743.14,1749.51,1749.51,-18.00,24.37
2018.12.11 21:18,1743.14,1746.96,1746.96,-20.55,24.37
2018.12.11 21:18,1743.14,1748.61,1748.61,-18.90,24.37
2018.12.11 21:18,1743.14,1749.91,1749.91,-17.60,24.37
2018.12.11 21:26,1743.14,1751.91,1751.91,-17.60,26.37
2018.12.11 21:26,1743.14,1753.94,1753.94,-17.60,28.40
2018.12.11 22:40,1743.14,1754.14,1754.14,-17.40,28.40
2018.12.11 22:40,1743.14,1754.65,1754.65,-16.89,28.40
2018.12.11 22:40,1743.14,1755.08,1755.08,-16.46,28.40
2018.12.11 22:40,1743.14,1756.26,1756.26,-15.28,28.40
2018.12.11 22:40,1743.14,1758.12,1758.12,-13.42,28.40
2018.12.11 23:54,1743.14,1752.21,1752.21,-19.33,28.40
2018.12.11 23:54,1743.14,1748.28,1748.28,-23.26,28.40
2018.12.12 01:02,1743.14,1747.72,1747.72,-23.82,28.40
2018.12.12 01:02,1743.14,1751.06,1751.06,-20.48,28.40
2018.12.12 17:36,1743.14,1742.26,1742.26,-29.28,28.40
2018.12.12 17:37,1743.14,1740.72,1740.72,-30.82,28.40
2018.12.12 17:56,1743.14,1735.92,1735.92,-35.62,28.40
2018.12.12 17:56,1743.14,1730.82,1730.82,-40.72,28.40
2018.12.12 17:56,1743.14,1726.62,1726.62,-44.92,28.40
2018.12.12 17:57,1743.14,1722.74,1722.74,-48.80,28.40
2018.12.12 17:57,1743.14,1718.73,1718.73,-52.81,28.40
2018.12.12 19:10,1743.14,1713.83,1713.83,-57.71,28.40
2018.12.12 19:10,1743.14,1703.03,1703.03,-68.51,28.40
2018.12.12 21:01,1743.14,1691.03,1691.03,-80.51,28.40
2018.12.12 21:13,1743.14,1695.83,1695.83,-75.71,28.40
2018.12.12 21:16,1743.14,1696.23,1696.23,-75.31,28.40
2018.12.12 21:28,1743.14,1692.77,1692.77,-78.77,28.40
2018.12.12 21:28,1743.14,1688.51,1688.51,-83.03,28.40
2018.12.12 21:28,1743.14,1685.42,1685.42,-86.12,28.40
2018.12.12 21:33,1743.14,1698.22,1698.22,-73.32,28.40
2018.12.12 21:47,1743.14,1690.70,1690.70,-80.84,28.40
2018.12.12 21:47,1743.14,1685.14,1685.14,-86.40,28.40
2018.12.12 21:47,1743.14,1677.91,1677.91,-93.63,28.40
2018.12.12 21:47,1743.14,1677.11,1677.11,-94.43,28.40
2018.12.12 22:55,1743.14,1673.35,1673.35,-98.19,28.40
2018.12.12 22:55,1743.14,1665.99,1665.99,-105.55,28.40
2018.12.12 22:55,1743.14,1660.57,1660.57,-110.97,28.40
2018.12.12 22:55,1743.14,1649.15,1649.15,-122.39,28.40
2018.12.12 22:55,1743.14,1646.07,1646.07,-125.47,28.40
2018.12.12 22:56,1743.14,1641.21,1641.21,-130.33,28.40
2018.12.12 22:56,1743.14,1637.05,1637.05,-134.49,28.40
2018.12.12 22:56,1743.14,1631.37,1631.37,-140.17,28.40
2018.12.12 22:56,1743.14,1627.42,1627.42,-144.12,28.40
2018.12.13 01:18,1743.14,1623.96,1623.96,-147.58,28.40
2018.12.13 10:15,1743.14,1621.46,1621.46,-150.08,28.40
2018.12.13 11:09,1743.14,1614.90,1614.90,-156.64,28.40
2018.12.13 11:10,1743.14,1619.19,1619.19,-152.35,28.40
2018.12.13 11:10,1743.14,1620.98,1620.98,-150.56,28.40
2018.12.13 17:04,1743.14,1612.38,1612.38,-159.16,28.40
2018.12.13 17:04,1743.14,1606.68,1606.68,-164.86,28.40
2018.12.13 17:04,1743.14,1602.08,1602.08,-169.46,28.40
2018.12.13 17:04,1743.14,1594.78,1594.78,-176.76,28.40
2018.12.13 17:13,1743.14,1577.96,1577.96,-193.58,28.40
2018.12.13 17:13,1743.14,1570.60,1570.60,-200.94,28.40
2018.12.13 17:13,1743.14,1564.28,1564.28,-207.26,28.40
2018.12.13 17:20,1743.14,1551.48,1551.48,-220.06,28.40
2018.12.13 20:16,1743.14,1559.34,1559.34,-212.20,28.40
2018.12.13 20:33,1743.14,1560.23,1560.23,-211.31,28.40
2018.12.13 20:33,1743.14,1563.62,1563.62,-207.92,28.40
2018.12.13 20:33,1743.14,1562.32,1562.32,-209.22,28.40
2018.12.13 20:33,1743.14,1561.62,1561.62,-209.92,28.40
2018.12.13 20:34,1743.14,1572.48,1572.48,-199.06,28.40
2018.12.13 20:36,1743.14,1571.30,1571.30,-200.24,28.40
2018.12.13 20:55,1743.14,1563.06,1563.06,-208.48,28.40
2018.12.13 20:55,1743.14,1557.30,1557.30,-214.24,28.40
2018.12.13 20:55,1743.14,1554.73,1554.73,-216.81,28.40
2018.12.13 22:18,1743.14,1547.34,1547.34,-224.20,28.40
2018.12.13 22:18,1743.14,1540.79,1540.79,-230.75,28.40
2018.12.13 22:18,1743.14,1536.03,1536.03,-235.51,28.40
2018.12.13 22:18,1743.14,1528.20,1528.20,-243.34,28.40
2018.12.13 22:18,1743.14,1526.04,1526.04,-245.50,28.40
2018.12.13 22:18,1743.14,1523.47,1523.47,-248.07,28.40
2018.12.13 22:30,1743.14,1518.61,1518.61,-252.93,28.40
2018.12.13 22:30,1743.14,1516.67,1516.67,-254.87,28.40
2018.12.13 22:30,1743.14,1512.57,1512.57,-258.97,28.40
2018.12.13 22:30,1743.14,1511.40,1511.40,-260.14,28.40
2018.12.14 03:03,1743.14,1496.68,1496.68,-274.86,28.40
2018.12.14 03:03,1743.14,1481.50,1481.50,-290.04,28.40
2018.12.14 03:03,1743.14,1468.71,1468.71,-302.83,28.40
2018.12.14 03:03,1743.14,1446.75,1446.75,-324.79,28.40
2018.12.14 04:37,1743.45,1447.06,1447.06,-324.79,28.40
2018.12.14 05:04,1743.76,1447.37,1447.37,-324.79,28.40
2018.12.14 14:09,1743.76,1437.61,1437.61,-334.55,28.40
2018.12.14 22:11,1743.76,1435.39,1435.39,-336.77,28.40
2018.12.14 22:11,1743.76,1438.44,1438.44,-333.72,28.40
2018.12.17 03:08,1743.72,1438.40,1438.40,-333.72,28.40
2018.12.17 03:34,1743.43,1438.11,1438.11,-333.72,28.40
2018.12.17 04:07,1743.36,1438.04,1438.04,-333.72,28.40
2018.12.17 16:48,1743.36,1452.14,1452.14,-333.72,42.50
2018.12.17 17:12,1743.36,1457.28,1457.28,-333.72,47.64
2018.12.17 18:03,1743.36,1471.44,1471.44,-319.56,47.64
2018.12.17 18:03,1743.36,1476.83,1476.83,-314.17,47.64
2018.12.17 18:03,1743.36,1472.29,1472.29,-318.71,47.64
2018.12.17 18:09,1743.36,1497.58,1497.58,-293.42,47.64
2018.12.17 18:09,1743.36,1501.56,1501.56,-289.44,47.64
2018.12.17 18:09,1743.36,1511.33,1511.33,-279.67,47.64
2018.12.17 18:27,1743.36,1510.84,1510.84,-280.16,47.64
2018.12.17 18:27,1743.36,1512.35,1512.35,-278.65,47.64
2018.12.17 18:27,1743.36,1517.67,1517.67,-273.33,47.64
2018.12.17 19:00,1743.36,1510.42,1510.42,-280.58,47.64
2018.12.17 19:00,1743.36,1505.97,1505.97,-285.03,47.64
2018.12.17 19:00,1743.36,1496.42,1496.42,-294.58,47.64
2018.12.17 19:00,1743.36,1489.30,1489.30,-301.70,47.64
2018.12.17 19:00,1743.36,1487.95,1487.95,-303.05,47.64
2018.12.17 19:00,1743.36,1485.08,1485.08,-305.92,47.64
2018.12.17 19:00,1743.36,1474.96,1474.96,-316.04,47.64
